movieId,year,rating
1,1996,4.0
1,1997,4.2727272727272725
1,1998,4.0
1,1999,3.0
1,2000,3.642857142857143
1,2001,3.9375
1,2002,4.666666666666667
1,2003,3.9166666666666665
1,2004,3.7
1,2005,4.055555555555555
1,2006,3.8333333333333335
1,2007,3.433333333333333
1,2008,4.214285714285714
1,2009,3.7222222222222223
1,2010,3.8
1,2011,4.25
1,2012,3.375
1,2013,4.166666666666667
1,2014,3.5
1,2015,4.0
1,2016,3.6333333333333333
1,2017,4.4
1,2018,3.466666666666667
1,2019,4.166666666666667
2,1996,4.285714285714286
2,1997,3.75
2,1998,4.0
2,1999,1.0
2,2000,3.3333333333333335
2,2001,3.2857142857142856
2,2002,3.0
2,2003,3.5
2,2004,3.5
2,2005,3.2857142857142856
2,2006,2.5
2,2007,3.4166666666666665
2,2008,3.25
2,2009,3.8333333333333335
2,2010,3.0
2,2011,1.5
2,2012,3.25
2,2013,3.1666666666666665
2,2014,2.5
2,2015,3.4
2,2016,3.25
2,2017,3.9
2,2018,3.1666666666666665
2,2019,4.0
3,1997,3.619047619047619
3,1998,3.0
3,2000,2.5
3,2001,3.4285714285714284
3,2002,3.5
3,2004,5.0
3,2005,2.8333333333333335
3,2006,2.5
3,2007,2.6666666666666665
3,2008,3.25
3,2009,4.0
3,2010,3.0
3,2011,3.0
3,2012,3.5
3,2015,0.5
3,2018,1.5
4,1996,2.5
4,1997,2.5
4,2009,1.5
5,1996,3.3333333333333335
5,1997,3.259259259259259
5,2000,2.5
5,2001,2.0
5,2002,3.0
5,2003,1.5
5,2004,5.0
5,2005,4.0
5,2007,2.0
5,2008,4.5
5,2009,3.25
5,2010,2.0
5,2012,1.5
5,2014,2.0
5,2015,4.0
5,2016,1.5
5,2017,3.0
5,2018,3.5
6,1996,3.75
6,1997,3.8275862068965516
6,1998,4.0
6,1999,5.0
6,2000,3.5
6,2001,3.727272727272727
6,2002,4.0
6,2003,3.9285714285714284
6,2004,3.8333333333333335
6,2005,4.666666666666667
6,2006,4.166666666666667
6,2007,4.125
6,2008,3.6666666666666665
6,2009,4.25
6,2010,4.0
6,2013,4.0
6,2014,4.0
6,2015,3.0
6,2016,4.0
6,2017,4.666666666666667
6,2018,4.625
6,2019,4.0
7,1996,3.5
7,1997,3.5
7,1998,4.0
7,2000,2.2
7,2001,3.0
7,2002,3.0
7,2003,3.0
7,2004,4.5
7,2006,1.8333333333333333
7,2007,2.75
